Date,macOS Mojave,macOS High Sierra,macOS Sierra,OS X El Capitan,macOS Catalina,OS X 10.10,OS X Mavericks,mac OS X Snow Leopard,mac OS X Lion,OS X Mountain Lion,mac OS X Leopard,mac OS X Tiger
2019-01,36.63,27.37,13.15,10.71,0,6.91,2.27,1.1,0.86,0.81,0.14,0.05
2019-02,39.46,25.79,12.61,10.5,0,6.74,2.15,0.93,0.86,0.81,0.1,0.03
2019-03,41.6,24.46,12.1,10.21,0,6.54,2.13,0.98,0.95,0.9,0.09,0.03
2019-04,43.65,23.63,11.79,9.93,0,6.24,2.04,0.95,0.82,0.83,0.08,0.03
2019-05,46.02,22.94,11.42,9.35,0,5.93,1.93,0.94,0.68,0.68,0.08,0.03
2019-06,47.43,22.28,11.13,9.02,0.18,5.66,1.89,0.94,0.71,0.66,0.08,0.03
2019-07,48.93,21.47,10.66,8.63,0.51,5.52,1.85,1,0.68,0.64,0.08,0.03
2019-08,50.46,20.8,10.43,8.43,0.64,5.35,1.74,0.88,0.58,0.62,0.06,0.02
2019-09,52.21,20.29,9.99,7.88,1.18,4.9,1.56,0.81,0.54,0.56,0.05,0.02
2019-10,42.53,18.25,8.99,7,15.6,4.61,1.36,0.67,0.47,0.46,0.05,0.02
2019-11,33.22,17.18,8.21,6.51,27.43,4.51,1.3,0.67,0.47,0.44,0.04,0.01
2019-12,29.94,16.62,7.85,6.16,32.65,4,1.24,0.64,0.43,0.43,0.04,0.01
