Date,Win10,Win7,Win8.1,Win8,WinXP,WinVista,Win2003,Win98
2019-01,53.18,35.05,6.67,2.27,2.18,0.58,0.04,0.01
2019-02,54.78,33.89,6.55,2.17,1.97,0.56,0.04,0.01
2019-03,55.77,33.41,6.27,2.2,1.74,0.55,0.04,0.01
2019-04,55.9,33.78,6.02,2.06,1.67,0.51,0.04,0.01
2019-05,56.77,33.3,5.77,1.77,1.78,0.54,0.04,0.01
2019-06,58.21,31.96,5.75,1.74,1.71,0.58,0.04,0.01
2019-07,58.63,31.22,5.59,2.25,1.65,0.59,0.05,0.01
2019-08,59.82,30.92,5.53,1.7,1.54,0.42,0.04,0.01
2019-09,60.65,29.39,5.22,2.93,1.44,0.31,0.04,0.01
2019-10,62.98,27.98,5.07,2.25,1.36,0.3,0.04,0.01
2019-11,64.64,27.49,4.98,1.23,1.29,0.31,0.03,0.01
2019-12,65.4,26.79,4.87,1.29,1.29,0.31,0.04,0.01
