Date,macOS Sierra,OS X El Capitan,OS X 10.10,macOS High Sierra,OS X Mavericks,mac OS X Snow Leopard,OS X Mountain Lion,mac OS X Lion,mac OS X Leopard,mac OS X Tiger,macOS Mojave,macOS Catalina,macOS Big Sur 11.0,macOS Big Sur 11.1,macOS Big Sur 10.16,macOS Big Sur 11.2,macOS Big Sur 11.3,macOS Big Sur 11.5,macOS 11.6,macOS Big Sur 11.4
2017-06,46.88,23.73,16.32,0.11,5.83,2.73,1.93,1.91,0.42,0.12,,,,,,,,,,
2017-07,47.47,23.22,16.41,0.18,5.78,2.68,1.87,1.84,0.43,0.12,,,,,,,,,,
2017-08,48.93,22.8,16,0.25,5.45,2.43,1.85,1.74,0.42,0.12,,,,,,,,,,
2017-09,50.42,22.08,14.89,0.79,5.39,2.36,1.84,1.72,0.39,0.11,,,,,,,,,,
2017-10,48.01,21.69,14.35,5.44,5.14,2.02,1.52,1.42,0.3,0.07,,,,,,,,,,
2017-11,40.03,20.75,13.83,14.95,5.19,1.94,1.6,1.35,0.28,0.07,,,,,,,,,,
2017-12,29.61,20.64,13.36,26.42,4.64,1.93,1.7,1.33,0.29,0.08,,,,,,,,,,
2017-01,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2017-02,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2017-03,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2017-04,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2017-05,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2018-01,25.69,19.93,12.58,32.68,4.04,1.94,1.34,1.39,0.32,0.09,0,,,,,,,,,
2018-02,23.49,18.6,11.51,37.76,3.96,1.78,1.27,1.27,0.27,0.08,0,,,,,,,,,
2018-03,22.47,17.22,11.04,41,3.8,1.68,1.27,1.2,0.24,0.07,0,,,,,,,,,
2018-04,21.3,16.71,10.57,43.43,3.64,1.69,1.17,1.16,0.26,0.07,0,,,,,,,,,
2018-05,20.47,16.26,10.11,45.64,3.38,1.58,1.13,1.15,0.22,0.06,0,,,,,,,,,
2018-06,19.28,15.44,9.68,47.97,3.33,1.55,1.15,1.2,0.21,0.06,0.15,,,,,,,,,
2018-07,18.41,14.79,9.36,49.78,3.19,1.55,1.13,1.15,0.21,0.06,0.36,,,,,,,,,
2018-08,17.75,14.16,8.83,52.08,3.04,1.39,1.02,1.03,0.18,0.05,0.47,,,,,,,,,
2018-09,17.11,13.98,8.28,53.05,2.81,1.29,0.91,0.97,0.17,0.05,1.39,,,,,,,,,
2018-10,16.37,13.18,7.85,45.44,2.57,1.19,0.89,0.87,0.16,0.04,11.44,,,,,,,,,
2018-11,14.92,11.94,7.45,33.33,2.46,1.21,0.85,0.87,0.17,0.05,26.76,,,,,,,,,
2018-12,14.29,11.36,7.32,29.04,2.5,1.18,0.82,0.93,0.15,0.05,32.37,,,,,,,,,
2019-01,13.15,10.71,6.91,27.37,2.27,1.1,0.81,0.86,0.14,0.05,36.63,0,,,,,,,,
2019-02,12.61,10.5,6.74,25.79,2.15,0.93,0.81,0.86,0.1,0.03,39.46,0,,,,,,,,
2019-03,12.1,10.21,6.54,24.46,2.13,0.98,0.9,0.95,0.09,0.03,41.6,0,,,,,,,,
2019-04,11.79,9.93,6.24,23.63,2.04,0.95,0.83,0.82,0.08,0.03,43.65,0,,,,,,,,
2019-05,11.42,9.35,5.93,22.94,1.93,0.94,0.68,0.68,0.08,0.03,46.02,0,,,,,,,,
2019-06,11.13,9.02,5.66,22.28,1.89,0.94,0.66,0.71,0.08,0.03,47.43,0.18,,,,,,,,
2019-07,10.66,8.63,5.52,21.47,1.85,1,0.64,0.68,0.08,0.03,48.93,0.51,,,,,,,,
2019-08,10.43,8.43,5.35,20.8,1.74,0.88,0.62,0.58,0.06,0.02,50.46,0.64,,,,,,,,
2019-09,9.99,7.88,4.9,20.29,1.56,0.81,0.56,0.54,0.05,0.02,52.21,1.18,,,,,,,,
2019-10,8.99,7,4.61,18.25,1.36,0.67,0.46,0.47,0.05,0.02,42.53,15.6,,,,,,,,
2019-11,8.21,6.51,4.51,17.18,1.3,0.67,0.44,0.47,0.04,0.01,33.22,27.43,,,,,,,,
2019-12,7.85,6.16,4,16.62,1.24,0.64,0.43,0.43,0.04,0.01,29.94,32.65,,,,,,,,
2020-01,7.24,5.79,3.72,15.88,1.16,0.59,0.41,0.4,0.03,,27.04,37.72,0,0,0,,,,,
2020-02,6.85,5.48,3.53,15.42,1.11,0.54,0.43,0.36,0.03,,25.4,40.83,0,0,0,,,,,
2020-03,6.52,5.14,3.36,14.86,1.01,0.44,0.37,0.32,0.03,,23.76,44.19,0,0,0,,,,,
2020-04,5.88,4.7,3.18,13.82,0.96,0.37,0.38,0.28,0.02,,21.43,48.98,0,0,0,,,,,
2020-05,5.65,4.49,3.21,13.6,0.88,0.34,0.33,0.26,0.01,,20.28,50.93,0,0,0,,,,,
2020-06,5.45,4.37,2.91,13.48,0.86,0.35,0.31,0.27,0.01,,19.02,52.95,0,0,0.03,,,,,
2020-07,5.23,4.22,2.79,13.23,0.87,0.36,0.31,0.26,0.02,,17.69,54.86,0.04,0,0.11,,,,,
2020-08,4.94,3.98,2.64,12.7,0.82,0.32,0.26,0.24,0.02,,16.37,57.34,0.24,0,0.12,,,,,
2020-09,4.78,3.81,2.42,12.31,0.77,0.31,0.26,0.34,0.02,,15.56,59.03,0.21,0,0.18,,,,,
2020-10,4.5,3.52,2.28,11.66,0.7,0.28,0.22,0.21,0.03,,14.32,61.94,0.25,0,0.1,,,,,
2020-11,3.71,3.01,2.28,9.23,0.61,0.21,0.16,0.16,0.02,,12.44,65.81,2.11,0.02,0.23,,,,,
2020-12,3.51,2.88,2.17,8.72,0.58,0.26,0.15,0.15,0.01,,11.68,63.63,3.82,1.82,0.57,,,,,
2021-01,3.27,2.69,2.46,8.27,0.58,0.23,0.14,0.15,0.01,,10.63,63,1.59,6.19,0.68,0.1,0,0,0,0
2021-02,3.21,2.64,4.6,8.15,0.56,0.3,0.13,0.14,0.02,,9.79,60.09,1.25,3.24,0.78,5.04,0.05,0,0,0
2021-03,3.02,2.49,5.04,7.88,0.54,0.28,0.12,0.13,0.02,,9.38,59.48,0.94,1.65,0.74,8.2,0.07,0,0,0
2021-04,2.89,2.37,5.36,7.57,0.52,0.3,0.11,0.12,0.02,,9.1,62.16,0.67,1,0.19,7.54,0.07,0,0,0
2021-05,2.81,2.5,4.97,7.28,0.51,0.2,0.11,0.12,0.02,,8.66,71.13,0.15,0.17,0.13,1.04,0.18,0,0,0.01
2021-06,2.73,2.25,3.62,7.01,0.5,0.17,0.11,0.11,0.01,,8.21,74.44,0.08,0.06,0.11,0.33,0.12,0,0,0.13
2021-07,2.7,2.2,1.7,6.88,0.5,0.2,0.11,0.12,0.01,,7.83,77.23,0.09,0.04,0.11,0.1,0.01,0.01,0,0.16
2021-08,2.57,2.16,1.62,6.82,0.5,0.24,0.11,0.11,0.01,,7.46,77.88,0.08,0.03,0.12,0.1,0.01,0.14,0,0.06
2021-09,2.41,2.01,1.56,7.04,0.46,0.22,0.09,0.1,0.01,,7.23,78.27,0.07,0.02,0.11,0.08,0.01,0.26,0.01,0.02
2021-10,2.4,1.72,1.45,6.05,0.4,0.17,0.09,0.09,0.01,,6.83,80.02,0.11,0.02,0.12,0.07,0.01,0.09,0.33,0.01
2021-11,2.34,1.71,1.53,5.88,0.39,0.15,0.08,0.08,0.01,,6.55,80.8,0.12,0.02,0.11,0.06,0.02,0.02,0.09,0.01
2021-12,2.25,1.7,1.34,5.62,0.4,0.16,0.08,0.08,0.01,,6.23,81.7,0.14,0.01,0.1,0.05,0.01,0.02,0.07,0.01
2022-01,2.15,1.62,1.24,5.35,0.36,0.18,0.07,0.08,0.01,,5.91,82.66,0.1,0.01,0.11,0.05,,0.01,0.03,0.01
2022-02,2.1,1.55,1.21,5.05,0.35,0.21,0.07,0.08,0.02,,5.64,83.38,0.1,0.01,0.09,0.07,,0.01,0.02,0.01
2022-03,2.01,1.53,1.21,4.9,0.36,0.17,0.07,0.08,0.02,,5.15,84.19,0.07,0.01,0.1,0.05,,0.01,0.02,0.01
2022-04,1.94,1.49,1.25,4.81,0.39,0.15,0.07,0.08,0.01,,5.01,84.47,0.11,0.01,0.09,0.05,,0.01,0.01,0
2022-05,1.88,1.39,1.23,4.62,0.37,0.11,0.07,0.08,0.01,,4.97,84.99,0.09,0.01,0.09,0.05,,0,0.01,0
2022-06,1.84,1.38,1.16,4.47,0.35,0.11,0.07,0.08,0.01,,4.86,85.38,0.07,0.01,0.09,0.04,,0.01,0.03,0.01
2022-07,1.79,1.39,1.18,4.49,0.38,0.11,0.07,0.08,0.01,,4.5,85.74,0.04,0.01,0.09,0.04,,0.01,0.01,0
2022-08,1.75,1.35,1.19,4.29,0.37,0.11,0.07,0.07,0.02,,4.27,86.26,0.04,0.01,0.08,0.06,,0.01,0.01,0
